Time	EMG	Muscle Force
21.33	-0.140253	0.275858
21.331	0.026664	0.275858
21.332	0.101674	0.27623
21.333	0.0433336	0.275858
21.334	-0.0482887	0.275858
21.335	-0.115808	0.275858
21.336	-0.0312773	0.27623
21.337	0.064471	0.275858
21.338	0.1587	0.275858
21.339	0.00752443	0.275858
21.34	-0.151921	0.275858
21.341	-0.0868187	0.275858
21.342	0.0358467	0.275858
21.343	0.080772	0.275858
21.344	0.0935147	0.27623
21.345	-0.00330803	0.275858
21.346	-0.145276	0.275858
21.347	-0.0841656	0.27623
21.348	0.12518	0.275858
21.349	0.143792	0.275858
21.35	0.00996927	0.275858
21.351	-0.188614	0.275858
21.352	-0.155487	0.275858
21.353	0.0262513	0.275858
21.354	0.198841	0.275858
21.355	0.198238	0.275858
21.356	-0.0647869	0.275858
21.357	-0.187132	0.275858
21.358	-0.111437	0.275858
21.359	0.0328232	0.275858
21.36	0.157068	0.275858
21.361	0.112208	0.275858
21.362	-0.0807806	0.275858
21.363	-0.255178	0.275858
21.364	-0.0315603	0.27623
21.365	0.211886	0.275858
21.366	0.161342	0.275858
21.367	0.000894984	0.275858
21.368	-0.129291	0.275858
21.369	-0.137571	0.275858
21.37	-0.0294507	0.275858
21.371	0.136519	0.275858
21.372	0.0894461	0.275858
21.373	-0.0651702	0.275858
21.374	-0.116792	0.275858
21.375	-0.00368369	0.275858
21.376	0.106864	0.275858
21.377	0.1121	0.275858
21.378	0.0103959	0.275858
21.379	-0.123065	0.275858
21.38	-0.165228	0.275858
21.381	0.00961869	0.275858
21.382	0.110501	0.275858
21.383	0.105082	0.275858
21.384	0.0311065	0.275858
21.385	-0.0624295	0.275858
21.386	-0.116964	0.275858
21.387	0.00834168	0.275858
21.388	0.162188	0.275858
21.389	-0.0056477	0.275858
21.39	-0.163622	0.275858
21.391	-0.0838609	0.275858
21.392	0.0967589	0.275858
21.393	0.141922	0.275858
21.394	0.0568999	0.275858
21.395	-0.0483658	0.275858
21.396	-0.123693	0.275858
21.397	-0.100784	0.275858
21.398	0.0319561	0.275858
21.399	0.124188	0.275858
21.4	0.0926239	0.275858
21.401	-0.0540353	0.275858
21.402	-0.119354	0.275858
21.403	-0.0592401	0.275858
21.404	0.115494	0.275858
21.405	0.178492	0.275858
21.406	-0.0660262	0.275858
21.407	-0.164213	0.275858
21.408	-0.0806921	0.275858
21.409	0.0454252	0.275858
21.41	0.0975812	0.275858
21.411	0.0681715	0.275858
21.412	-0.00704326	0.275858
21.413	-0.0991812	0.275858
21.414	-0.0078601	0.275858
21.415	0.0679884	0.275858
21.416	0.0851698	0.275858
21.417	-0.0536598	0.275858
21.418	-0.176356	0.275858
21.419	-0.0922045	0.275858
21.42	0.0741185	0.275858
21.421	0.232828	0.275858
21.422	0.130739	0.275858
21.423	-0.0946137	0.275858
21.424	-0.167875	0.275858
21.425	-0.0884225	0.275858
